Review,sentiment
I absolutely loved this movie! 😊 😍,positive
"Terrible experience, would not recommend. !!",negative
I absolutely loved this movie! 😊 😍,positive
"Had a great time with friends, everything was perfect! lol",positive
I absolutely loved this movie! 😊,positive
"The service was excellent, highly recommend! http://example.com",positive
"Had a great time with friends, everything was perfect! !!",positive
"Terrible experience, would not recommend. lol",negative
I hated every minute of it. 😡 !!!,negative
"Superb product quality, very satisfied. <br>",positive
"Terrible experience, would not recommend. !!",negative
I hated every minute of it. 😡,negative
I hated every minute of it. 😡 <br>,negative
Not worth the time or the price. <br>,negative
"Superb product quality, very satisfied. http://example.com",positive
"Superb product quality, very satisfied.",positive
Not worth the time or the price. !!!,negative
Not worth the time or the price. !!,negative
I absolutely loved this movie! 😊 😍,positive
What a fantastic experience. Will come again!,positive
I absolutely loved this movie! 😊 lol,positive
I'm very disappointed with the service. 😍,negative
"Terrible experience, would not recommend. <br>",negative
"Terrible experience, would not recommend. 😍",negative
I hated every minute of it. 😡 http://example.com,negative
"Had a great time with friends, everything was perfect! 😍",positive
"The service was excellent, highly recommend! lol",positive
Worst product ever. Total waste of money! 😍,negative
What a fantastic experience. Will come again! !!!,positive
"The service was excellent, highly recommend! !!!",positive
What a fantastic experience. Will come again! lol,positive
I hated every minute of it. 😡 !!,negative
"Terrible experience, would not recommend. 😍",negative
I'm very disappointed with the service. 😍,negative
"Terrible experience, would not recommend. <br>",negative
"The service was excellent, highly recommend! 😍",positive
Not worth the time or the price. lol,negative
Worst product ever. Total waste of money! !!,negative
"Had a great time with friends, everything was perfect! lol",positive
I absolutely loved this movie! 😊 !!!,positive
"The service was excellent, highly recommend! 😍",positive
"Superb product quality, very satisfied. http://example.com",positive
"Superb product quality, very satisfied. lol",positive
Not worth the time or the price. <br>,negative
I absolutely loved this movie! 😊 😍,positive
Worst product ever. Total waste of money!,negative
I'm very disappointed with the service. !!,negative
I hated every minute of it. 😡 😍,negative
Not worth the time or the price. !!!,negative
"Had a great time with friends, everything was perfect!",positive
Not worth the time or the price. http://example.com,negative
"The service was excellent, highly recommend! <br>",positive
"Had a great time with friends, everything was perfect! !!!",positive
"Had a great time with friends, everything was perfect! <br>",positive
I hated every minute of it. 😡,negative
Worst product ever. Total waste of money! !!,negative
"The service was excellent, highly recommend! http://example.com",positive
I absolutely loved this movie! 😊 😍,positive
I hated every minute of it. 😡 !!!,negative
"The service was excellent, highly recommend! 😍",positive
Not worth the time or the price. !!,negative
Not worth the time or the price. !!!,negative
"Terrible experience, would not recommend. http://example.com",negative
What a fantastic experience. Will come again! lol,positive
I'm very disappointed with the service. http://example.com,negative
I hated every minute of it. 😡 !!,negative
I absolutely loved this movie! 😊 <br>,positive
"Had a great time with friends, everything was perfect! http://example.com",positive
"Had a great time with friends, everything was perfect! !!",positive
I absolutely loved this movie! 😊 😍,positive
"The service was excellent, highly recommend!",positive
What a fantastic experience. Will come again!,positive
What a fantastic experience. Will come again! 😍,positive
"Terrible experience, would not recommend. http://example.com",negative
"Had a great time with friends, everything was perfect! http://example.com",positive
"Terrible experience, would not recommend. !!!",negative
I'm very disappointed with the service. !!,negative
I absolutely loved this movie! 😊 😍,positive
Worst product ever. Total waste of money! lol,negative
I'm very disappointed with the service. !!!,negative
I absolutely loved this movie! 😊,positive
Worst product ever. Total waste of money! !!!,negative
"The service was excellent, highly recommend! !!",positive
"Had a great time with friends, everything was perfect! lol",positive
"Superb product quality, very satisfied. !!",positive
I'm very disappointed with the service. !!,negative
"Superb product quality, very satisfied. !!!",positive
I absolutely loved this movie! 😊 😍,positive
I absolutely loved this movie! 😊 !!!,positive
"The service was excellent, highly recommend! lol",positive
I'm very disappointed with the service. !!,negative
I hated every minute of it. 😡 !!,negative
I hated every minute of it. 😡 lol,negative
I'm very disappointed with the service. <br>,negative
Not worth the time or the price. 😍,negative
"Terrible experience, would not recommend. !!",negative
"Terrible experience, would not recommend.",negative
What a fantastic experience. Will come again!,positive
"Had a great time with friends, everything was perfect! lol",positive
I absolutely loved this movie! 😊 http://example.com,positive
"The service was excellent, highly recommend!",positive
"The service was excellent, highly recommend! lol",positive
"Had a great time with friends, everything was perfect! !!",positive
"Had a great time with friends, everything was perfect!",positive
Not worth the time or the price. http://example.com,negative
Worst product ever. Total waste of money! !!,negative
"Terrible experience, would not recommend. <br>",negative
"Terrible experience, would not recommend. 😍",negative
I'm very disappointed with the service. <br>,negative
I absolutely loved this movie! 😊 lol,positive
I absolutely loved this movie! 😊 http://example.com,positive
"Had a great time with friends, everything was perfect! <br>",positive
What a fantastic experience. Will come again!,positive
What a fantastic experience. Will come again! <br>,positive
"Superb product quality, very satisfied. !!!",positive
Not worth the time or the price. !!!,negative
"Had a great time with friends, everything was perfect! <br>",positive
"The service was excellent, highly recommend! <br>",positive
I absolutely loved this movie! 😊 😍,positive
What a fantastic experience. Will come again! <br>,positive
What a fantastic experience. Will come again! !!,positive
Not worth the time or the price. lol,negative
I hated every minute of it. 😡,negative
Worst product ever. Total waste of money!,negative
What a fantastic experience. Will come again! !!!,positive
What a fantastic experience. Will come again! !!,positive
Not worth the time or the price. 😍,negative
Not worth the time or the price.,negative
I absolutely loved this movie! 😊 😍,positive
"Had a great time with friends, everything was perfect!",positive
Not worth the time or the price. http://example.com,negative
"Superb product quality, very satisfied. !!",positive
What a fantastic experience. Will come again! <br>,positive
What a fantastic experience. Will come again! !!,positive
I absolutely loved this movie! 😊 <br>,positive
Not worth the time or the price. 😍,negative
"The service was excellent, highly recommend! !!!",positive
"The service was excellent, highly recommend! lol",positive
"The service was excellent, highly recommend! 😍",positive
I'm very disappointed with the service. !!!,negative
What a fantastic experience. Will come again! !!,positive
"Superb product quality, very satisfied. !!!",positive
"Superb product quality, very satisfied. !!",positive
"Superb product quality, very satisfied. <br>",positive
"Terrible experience, would not recommend. !!",negative
"The service was excellent, highly recommend! lol",positive
Worst product ever. Total waste of money! !!!,negative
What a fantastic experience. Will come again! <br>,positive
Not worth the time or the price. <br>,negative
I absolutely loved this movie! 😊 <br>,positive
"Had a great time with friends, everything was perfect! <br>",positive
I absolutely loved this movie! 😊 http://example.com,positive
Worst product ever. Total waste of money! 😍,negative
I'm very disappointed with the service. http://example.com,negative
"Superb product quality, very satisfied. http://example.com",positive
What a fantastic experience. Will come again!,positive
I hated every minute of it. 😡 http://example.com,negative
What a fantastic experience. Will come again! lol,positive
What a fantastic experience. Will come again! http://example.com,positive
I hated every minute of it. 😡 😍,negative
Not worth the time or the price. <br>,negative
Worst product ever. Total waste of money! lol,negative
Not worth the time or the price. !!,negative
"Superb product quality, very satisfied. 😍",positive
"Terrible experience, would not recommend. http://example.com",negative
I'm very disappointed with the service. http://example.com,negative
What a fantastic experience. Will come again! <br>,positive
"Superb product quality, very satisfied. !!!",positive
I'm very disappointed with the service. lol,negative
"Terrible experience, would not recommend. http://example.com",negative
"Terrible experience, would not recommend. 😍",negative
What a fantastic experience. Will come again! http://example.com,positive
I hated every minute of it. 😡 !!!,negative
What a fantastic experience. Will come again! !!,positive
"The service was excellent, highly recommend!",positive
"The service was excellent, highly recommend! lol",positive
"Superb product quality, very satisfied. lol",positive
"Superb product quality, very satisfied. lol",positive
"Terrible experience, would not recommend. !!",negative
I absolutely loved this movie! 😊 !!!,positive
"Terrible experience, would not recommend. !!",negative
I hated every minute of it. 😡 http://example.com,negative
I absolutely loved this movie! 😊 lol,positive
"Superb product quality, very satisfied. 😍",positive
I'm very disappointed with the service. http://example.com,negative
Not worth the time or the price. lol,negative
"Superb product quality, very satisfied. lol",positive
"Terrible experience, would not recommend. !!!",negative
Not worth the time or the price. lol,negative
What a fantastic experience. Will come again! lol,positive
What a fantastic experience. Will come again! !!,positive
Worst product ever. Total waste of money! <br>,negative
"The service was excellent, highly recommend! !!",positive
"Superb product quality, very satisfied. 😍",positive
"The service was excellent, highly recommend!",positive
I'm very disappointed with the service. <br>,negative
I'm very disappointed with the service.,negative
"Superb product quality, very satisfied. lol",positive
"Had a great time with friends, everything was perfect! lol",positive
I hated every minute of it. 😡 <br>,negative
